SESSION,ROOM,S_ORDER,FIRST_NAME,LAST_NAME
P1,SYS Hall,1,Karol,Życzkowski
P2,SYS Hall,1,Fumio,Hiai
P3,SYS Hall,1,Polona,Oblak
P4,SYS Hall,1,Fernando,De Terán
P5,SYS Hall,1,Daniel,Kressner
P6,SYS Hall,1,Dario Andrea,Bini
P7,SYS Hall,1,Fan,Chung
P8,SYS Hall,1,Karen,Meagher
P9,SYS Hall,1,Ren-Cang,Li
P10,SYS Hall,1,Haim,Avron
S1,SC0008,1,TBA,TBA
S1,SC0008,2,TBA,TBA
S1,SC0008,3,TBA,TBA
S1,SC0009,1,TBA,TBA
S1,SC0009,2,TBA,TBA
S1,SC0009,3,TBA,TBA
S1,SC0012,1,TBA,TBA
S1,SC0012,2,TBA,TBA
S1,SC0012,3,TBA,TBA
S1,SC0014,1,TBA,TBA
S1,SC0014,2,TBA,TBA
S1,SC0014,3,TBA,TBA
S1,SC1001,1,TBA,TBA
S1,SC1001,2,TBA,TBA
S1,SC1001,3,TBA,TBA
S1,SC1003,1,TBA,TBA
S1,SC1003,2,TBA,TBA
S1,SC1003,3,TBA,TBA
S1,SC1005,1,TBA,TBA
S1,SC1005,2,TBA,TBA
S1,SC1005,3,TBA,TBA
S1,SC2001,1,TBA,TBA
S1,SC2001,2,TBA,TBA
S1,SC2001,3,TBA,TBA
S1,SC2006,1,TBA,TBA
S1,SC2006,2,TBA,TBA
S1,SC2006,3,TBA,TBA
S1,SC3001,1,TBA,TBA
S1,SC3001,2,TBA,TBA
S1,SC3001,3,TBA,TBA
S1,SC4011,1,TBA,TBA
S1,SC4011,2,TBA,TBA
S1,SC4011,3,TBA,TBA
S2,SC0008,1,TBA,TBA
S2,SC0008,2,TBA,TBA
S2,SC0008,3,TBA,TBA
S2,SC0009,1,TBA,TBA
S2,SC0009,2,TBA,TBA
S2,SC0009,3,TBA,TBA
S2,SC0012,1,TBA,TBA
S2,SC0012,2,TBA,TBA
S2,SC0012,3,TBA,TBA
S2,SC0014,1,TBA,TBA
S2,SC0014,2,TBA,TBA
S2,SC0014,3,TBA,TBA
S2,SC1001,1,TBA,TBA
S2,SC1001,2,TBA,TBA
S2,SC1001,3,TBA,TBA
S2,SC1003,1,TBA,TBA
S2,SC1003,2,TBA,TBA
S2,SC1003,3,TBA,TBA
S2,SC1005,1,TBA,TBA
S2,SC1005,2,TBA,TBA
S2,SC1005,3,TBA,TBA
S2,SC2001,1,TBA,TBA
S2,SC2001,2,TBA,TBA
S2,SC2001,3,TBA,TBA
S2,SC2006,1,TBA,TBA
S2,SC2006,2,TBA,TBA
S2,SC2006,3,TBA,TBA
S2,SC3001,1,TBA,TBA
S2,SC3001,2,TBA,TBA
S2,SC3001,3,TBA,TBA
S2,SC4011,1,TBA,TBA
S2,SC4011,2,TBA,TBA
S2,SC4011,3,TBA,TBA
S3,SC0008,1,TBA,TBA
S3,SC0008,2,TBA,TBA
S3,SC0008,3,TBA,TBA
S3,SC0008,4,TBA,TBA
S3,SC0009,1,TBA,TBA
S3,SC0009,2,TBA,TBA
S3,SC0009,3,TBA,TBA
S3,SC0009,4,TBA,TBA
S3,SC0012,1,TBA,TBA
S3,SC0012,2,TBA,TBA
S3,SC0012,3,TBA,TBA
S3,SC0012,4,TBA,TBA
S3,SC0014,1,TBA,TBA
S3,SC0014,2,TBA,TBA
S3,SC0014,3,TBA,TBA
S3,SC0014,4,TBA,TBA
S3,SC1001,1,TBA,TBA
S3,SC1001,2,TBA,TBA
S3,SC1001,3,TBA,TBA
S3,SC1001,4,TBA,TBA
S3,SC1003,1,TBA,TBA
S3,SC1003,2,TBA,TBA
S3,SC1003,3,TBA,TBA
S3,SC1003,4,TBA,TBA
S3,SC1005,1,TBA,TBA
S3,SC1005,2,TBA,TBA
S3,SC1005,3,TBA,TBA
S3,SC1005,4,TBA,TBA
S3,SC2001,1,TBA,TBA
S3,SC2001,2,TBA,TBA
S3,SC2001,3,TBA,TBA
S3,SC2001,4,TBA,TBA
S3,SC2006,1,TBA,TBA
S3,SC2006,2,TBA,TBA
S3,SC2006,3,TBA,TBA
S3,SC2006,4,TBA,TBA
S3,SC3001,1,TBA,TBA
S3,SC3001,2,TBA,TBA
S3,SC3001,3,TBA,TBA
S3,SC3001,4,TBA,TBA
S3,SC4011,1,TBA,TBA
S3,SC4011,2,TBA,TBA
S3,SC4011,3,TBA,TBA
S3,SC4011,4,TBA,TBA
S4,SC0008,1,TBA,TBA
S4,SC0008,2,TBA,TBA
S4,SC0008,3,TBA,TBA
S4,SC0009,1,TBA,TBA
S4,SC0009,2,TBA,TBA
S4,SC0009,3,TBA,TBA
S4,SC0012,1,TBA,TBA
S4,SC0012,2,TBA,TBA
S4,SC0012,3,TBA,TBA
S4,SC0014,1,TBA,TBA
S4,SC0014,2,TBA,TBA
S4,SC0014,3,TBA,TBA
S4,SC1001,1,TBA,TBA
S4,SC1001,2,TBA,TBA
S4,SC1001,3,TBA,TBA
S4,SC1003,1,TBA,TBA
S4,SC1003,2,TBA,TBA
S4,SC1003,3,TBA,TBA
S4,SC1005,1,TBA,TBA
S4,SC1005,2,TBA,TBA
S4,SC1005,3,TBA,TBA
S4,SC2001,1,TBA,TBA
S4,SC2001,2,TBA,TBA
S4,SC2001,3,TBA,TBA
S4,SC2006,1,TBA,TBA
S4,SC2006,2,TBA,TBA
S4,SC2006,3,TBA,TBA
S4,SC3001,1,TBA,TBA
S4,SC3001,2,TBA,TBA
S4,SC3001,3,TBA,TBA
S4,SC4011,1,TBA,TBA
S4,SC4011,2,TBA,TBA
S4,SC4011,3,TBA,TBA
S5,SC0008,1,TBA,TBA
S5,SC0008,2,TBA,TBA
S5,SC0008,3,TBA,TBA
S5,SC0008,4,TBA,TBA
S5,SC0009,1,TBA,TBA
S5,SC0009,2,TBA,TBA
S5,SC0009,3,TBA,TBA
S5,SC0009,4,TBA,TBA
S5,SC0012,1,TBA,TBA
S5,SC0012,2,TBA,TBA
S5,SC0012,3,TBA,TBA
S5,SC0012,4,TBA,TBA
S5,SC0014,1,TBA,TBA
S5,SC0014,2,TBA,TBA
S5,SC0014,3,TBA,TBA
S5,SC0014,4,TBA,TBA
S5,SC1001,1,TBA,TBA
S5,SC1001,2,TBA,TBA
S5,SC1001,3,TBA,TBA
S5,SC1001,4,TBA,TBA
S5,SC1003,1,TBA,TBA
S5,SC1003,2,TBA,TBA
S5,SC1003,3,TBA,TBA
S5,SC1003,4,TBA,TBA
S5,SC1005,1,TBA,TBA
S5,SC1005,2,TBA,TBA
S5,SC1005,3,TBA,TBA
S5,SC1005,4,TBA,TBA
S5,SC2001,1,TBA,TBA
S5,SC2001,2,TBA,TBA
S5,SC2001,3,TBA,TBA
S5,SC2001,4,TBA,TBA
S5,SC2006,1,TBA,TBA
S5,SC2006,2,TBA,TBA
S5,SC2006,3,TBA,TBA
S5,SC2006,4,TBA,TBA
S5,SC3001,1,TBA,TBA
S5,SC3001,2,TBA,TBA
S5,SC3001,3,TBA,TBA
S5,SC3001,4,TBA,TBA
S5,SC4011,1,TBA,TBA
S5,SC4011,2,TBA,TBA
S5,SC4011,3,TBA,TBA
S5,SC4011,4,TBA,TBA
S6,SC0008,1,TBA,TBA
S6,SC0008,2,TBA,TBA
S6,SC0008,3,TBA,TBA
S6,SC0008,4,TBA,TBA
S6,SC0009,1,TBA,TBA
S6,SC0009,2,TBA,TBA
S6,SC0009,3,TBA,TBA
S6,SC0009,4,TBA,TBA
S6,SC0012,1,TBA,TBA
S6,SC0012,2,TBA,TBA
S6,SC0012,3,TBA,TBA
S6,SC0012,4,TBA,TBA
S6,SC0014,1,TBA,TBA
S6,SC0014,2,TBA,TBA
S6,SC0014,3,TBA,TBA
S6,SC0014,4,TBA,TBA
S6,SC1001,1,TBA,TBA
S6,SC1001,2,TBA,TBA
S6,SC1001,3,TBA,TBA
S6,SC1001,4,TBA,TBA
S6,SC1003,1,TBA,TBA
S6,SC1003,2,TBA,TBA
S6,SC1003,3,TBA,TBA
S6,SC1003,4,TBA,TBA
S6,SC1005,1,TBA,TBA
S6,SC1005,2,TBA,TBA
S6,SC1005,3,TBA,TBA
S6,SC1005,4,TBA,TBA
S6,SC2001,1,TBA,TBA
S6,SC2001,2,TBA,TBA
S6,SC2001,3,TBA,TBA
S6,SC2001,4,TBA,TBA
S6,SC2006,1,TBA,TBA
S6,SC2006,2,TBA,TBA
S6,SC2006,3,TBA,TBA
S6,SC2006,4,TBA,TBA
S6,SC3001,1,TBA,TBA
S6,SC3001,2,TBA,TBA
S6,SC3001,3,TBA,TBA
S6,SC3001,4,TBA,TBA
S6,SC4011,1,TBA,TBA
S6,SC4011,2,TBA,TBA
S6,SC4011,3,TBA,TBA
S6,SC4011,4,TBA,TBA
S7,SC0008,1,TBA,TBA
S7,SC0008,2,TBA,TBA
S7,SC0008,3,TBA,TBA
