SESSION,ROOM,S_ORDER,FIRST_NAME,LAST_NAME,FULL_NAME,START,TYPE,MS_TITLE,WEEKDAY,START_STR,END_STR,SESSION_ORDER,TYPE_ORDER,TITLE,ABSTRACT
P1,SYS Hall,1,Karol,Życzkowski,Karol Życzkowski,2025-06-23 08:30:00,Plenary,,Monday,08:30,09:30,1,100,"A ramble through mathematics relevant for quantum theory:  A personal perspective
","<p>Which branches of mathematics are the most important for a physicist
working in quantum theory? How to foster an interdisciplinary
collaboration of a theoretical physicists and a mathematician? Which
problems motivated by quantum theory can be inspiring for the
mathematical community? Basing on personal experience concerning
research related to linear algebra, operator theory, matrix analysis,
random matrices, geometry of convex sets, group theory and
combinatorics, I will argue that such a collaboration is possible and
can be fruitful.</p>
"
P2,SYS Hall,1,Fumio,Hiai,Fumio Hiai,2025-06-23 09:30:00,Plenary,,Monday,09:30,10:30,2,100,Various inequalities for quasi-arithmetic mean and quasi-geometric type means of matrices,"<p>Our targets in this talk are the quasi extensions of the weighted
arithmetic mean and of the weighted geometric type means, including the
weighted geometric mean, the weighted spectral geometric mean, the Rényi
mean, and the Log-Euclidean mean, for positive (semi)definite matrices.
For example, <span class=""math display"">$$\begin{aligned}
&amp;\mathcal{A}_{\alpha,p}(A,B):=(\alpha A^p+(1-\alpha)B^p)^{1/p},
\ \mbox{the quasi-weighted arithmetic mean}, \\
&amp;G_{\alpha,p}(A,B):=(A^p\#_\alpha B^p)^{1/p},
\ \mbox{the quasi-weighted geometric mean}, \\
&amp;R_{\alpha,p}(A,B):=\bigl(B^{{\frac{1-\alpha}{2}}p}A^{\alpha
p}B^{{\frac{1-\alpha}{2}}p}\bigr)^{1/p},
\ \mbox{the R\'enyi mean}, \\
&amp;LE_\alpha(A,B):=\exp(\alpha\log A+(1-\alpha)\log B),
\ \mbox{the weighted Log-Euclidean mean},
\end{aligned}$$</span> where <span
class=""math inline""><em>α</em> ∈ (0, 1)</span> (or all <span
class=""math inline""><em>α</em> &gt; 0</span>) is the weight parameter
and <span class=""math inline""><em>p</em> &gt; 0</span> is the parameter
of the quasi extension. For the quasi versions of these weighted matrix
means we consider inequalities in different types of orders such as the
Loewner order <span class=""math inline"">≤</span>, the chaotic <span
class=""math inline"">≤<sub>ch</sub></span> (i.e., <span
class=""math inline"">log <em>X</em> ≤ log <em>Y</em></span>), the near
order <span class=""math inline"">≤<sub>ne</sub></span> (i.e., <span
class=""math inline""><em>X</em>#<em>Y</em><sup>−1</sup> ≤ <em>I</em></span>),
the entrywise eigenvalue order <span
class=""math inline"">≤<sub><em>λ</em></sub></span>, the log-majorization
<span class=""math inline"">≺<sub>log</sub></span>, the weak majorization
<span class=""math inline"">≺<sub><em>w</em></sub></span>, and the order
under trace (i.e., <span
class=""math inline"">Tr <em>X</em> ≤ Tr <em>Y</em></span>), whose order
relations weaken in this writing order. Our objective is to pursue under
which condition of the parameters <span
class=""math inline""><em>α</em>, <em>p</em>, <em>q</em></span> the
inequality <span
class=""math inline"">ℳ<sub><em>α</em>, <em>p</em></sub>(<em>A</em>, <em>B</em>) ⊲ 𝒩<sub><em>α</em>, <em>q</em></sub>(<em>A</em>, <em>B</em>)</span>
holds for all positive (semi)definite matrices <span
class=""math inline""><em>A</em>, <em>B</em></span>, for any pair <span
class=""math inline"">(ℳ<sub><em>α</em>, <em>p</em></sub>, 𝒩<sub><em>α</em>, <em>q</em></sub>)</span>
from the above quasi-weighted means and for any order <span
class=""math inline"">⊲</span> mentioned above. For instance, it is shown
that <span
class=""math inline"">𝒜<sub><em>α</em>, <em>p</em></sub>(<em>A</em>, <em>B</em>) ≤ 𝒜<sub><em>α</em>, <em>q</em></sub>(<em>A</em>, <em>B</em>)</span>
holds for all <span
class=""math inline""><em>A</em>, <em>B</em> ≥ 0</span> if and only if
<span class=""math inline""><em>p</em> = <em>q</em></span> or <span
class=""math inline"">1 ≤ <em>p</em> &lt; <em>q</em></span> or <span
class=""math inline"">1/2 ≤ <em>p</em> &lt; 1 ≤ <em>q</em></span>,
whereas, for any other weaker order <span class=""math inline"">⊲</span>,
<span
class=""math inline"">𝒜<sub><em>α</em>, <em>p</em></sub>(<em>A</em>, <em>B</em>) ⊲ 𝒜<sub><em>α</em>, <em>q</em></sub>(<em>A</em>, <em>B</em>)</span>
holds for all <span
class=""math inline""><em>A</em>, <em>B</em> ≥ 0</span> if and only if
<span class=""math inline""><em>p</em> ≤ <em>q</em></span>. When <span
class=""math inline"">(ℳ<sub><em>α</em>, <em>p</em></sub>, 𝒩<sub><em>α</em>, <em>q</em></sub>)</span>
is a pair from the quasi-weighted geometric type means, we are mostly
interested in the condition of <span
class=""math inline""><em>α</em>, <em>p</em>, <em>q</em></span> under
which the log-majorization <span
class=""math inline"">ℳ<sub><em>α</em>, <em>p</em></sub>(<em>A</em>, <em>B</em>)≺<sub>log</sub>𝒩<sub><em>α</em>, <em>q</em></sub>(<em>A</em>, <em>B</em>)</span>
holds and whether <span
class=""math inline""><em>A</em><em>B</em> = <em>B</em><em>A</em></span>
follows from the equality case <span
class=""math inline"">Tr ℳ<sub><em>α</em>, <em>p</em></sub>(<em>A</em>, <em>B</em>) = Tr 𝒩<sub><em>α</em>, <em>q</em></sub>(<em>A</em>, <em>B</em>)</span>
in this situation.</p>
"
P3,SYS Hall,1,Polona,Oblak,Polona Oblak,2025-06-24 08:00:00,Plenary,,Tuesday,08:00,09:00,3,100,"Extremal eigenvalue multiplicities of matrices of a given pattern
","<p>We explore the family <span class=""math inline"">𝒮(<em>G</em>)</span>
of real symmetric matrices whose off-diagonal zero-nonzero pattern
matches the one of the adjacency matrix of a given simple graph <span
class=""math inline""><em>G</em></span>. Our focus is on the eigenvalue
multiplicities that such matrices can attain, which is a subproblem of
the well-studied Inverse Eigenvalue Problem for a Graph (IEP-<span
class=""math inline""><em>G</em></span>).</p>
<p>While every <span class=""math inline"">𝒮(<em>G</em>)</span> contains a
matrix with all eigenvalues simple, understanding constraints on high
multiplicities remains a significant challenge. Interpreting
multiplicity lists as partitions, we will examine the following key
parameters: the maximum achievable multiplicity of any eigenvalue, the
largest possible minimal multiplicity, and the minimal number of
distinct eigenvalues attainable by matrices in <span
class=""math inline"">𝒮(<em>G</em>)</span>. We will also discuss
constraints on matrices that realise the extreme values of the relevant
parameter.</p>
"
P4,SYS Hall,1,Fernando,De Terán,Fernando De Terán,2025-06-24 09:00:00,Plenary,,Tuesday,09:00,10:00,4,100,The canonical form for congruence: some history and applications,"<p>A square matrix <span class=""math inline""><em>A</em></span> can be
either seen as a linear map or as a bilinear form. When considered as a
linear map, it is natural to introduce the relation of “similarity”,
<span
class=""math inline""><em>P</em><sup>−1</sup><em>A</em><em>P</em></span>
(with <span class=""math inline""><em>P</em></span> invertible), which is
a change of basis that allows us to represent the linear map in a
simpler form, in particular in the well-known “Jordan canonical form”.
When considering the matrix <span class=""math inline""><em>A</em></span>
as a bilinear form, the natural relation instead is the one of
“congruence”, <span
class=""math inline""><em>P</em><sup>⊤</sup><em>A</em><em>P</em></span>
(with <span class=""math inline""><em>P</em></span> invertible), which is
the suitable change of basis for bilinear forms. Is there a canonical
form for such a relation? The answer is yes, and actually some different
canonical forms for congruence have been introduced over the years since
the 1930’s. In this talk I will introduce the most recent one (by Horn
and Sergeichuk, 2006), review the history of this and the other
canonical forms, and show some applications in the context of my past
and current research, including:</p>
<ul>
<li><p>The solution of the equation <span
class=""math inline""><em>A</em><em>X</em> + <em>X</em><sup>⊤</sup><em>A</em> = 0</span>
and its connection to <span class=""math inline"">⊤</span>-palindromic
pencils.</p></li>
<li><p>The consistency of the equation <span
class=""math inline""><em>X</em><sup>⊤</sup><em>A</em><em>X</em> = <em>B</em></span>
when <span class=""math inline""><em>B</em></span> is either symmetric or
skew-symmetric.</p></li>
</ul>
"
P5,SYS Hall,1,Daniel,Kressner,Daniel Kressner,2025-06-25 08:00:00,Plenary,,Wednesday,08:00,09:00,5,100,Adaptive randomized pivoting,"<p>Finding good subsets of row and column indices, often called pivots,
is a ubiquitous task in applied and numerical linear algebra. One of its
most famous appearances is arguably in Gaussian elimination for solving
linear systems, where a good choice of pivots is crucial for numerical
stability. This talk will focus on pivoting in the context of
low-dimensional approximation, including column subset selection,
discrete empirical interpolation, and various interpolative
decompositions, such as the CUR and Cholesky/Nystrom approximations. In
all of these cases, a greedy choice of pivots usually works well but
there are well-known counterexamples where such a choice leads to poor
results. We present a new randomized pivot selection strategy that
avoids such unfavorable worst-case performance by using adaptivity in
two senses: It adapts to information on the range / co-range of a
matrix, and the sampling distribution is updated after each pivot
selection. Adaptive randomized pivoting enjoys error guarantees that
match, in expectation, the best known existence results. At the same
time, it is simpler and usually cheaper than volume-based techniques,
which achieve similar guarantees through volume sampling or iterative
local volume maximization. We will illustrate several applications of
adaptive randomized pivoting and discuss derandomized variants. This
talk is based on joint work with Alice Cortinovis, University of
Pisa.</p>
"
P6,SYS Hall,1,Dario Andrea,Bini,Dario Andrea Bini,2025-06-25 09:00:00,Plenary,,Wednesday,09:00,10:00,6,100,Matrix structures in queueing and network models: An overview,"<p>We provide an overview of some results concerning classes of matrices
involved in queueing and network models. We show specific examples where
the analysis of matrix structures, besides providing a better
understanding of the original problem, is a fundamental step in
designing effective ad hoc solution algorithms.</p>
<p>Two specific issues are considered: the analysis of random walks on a
regular grid in the quarter plane, and the assessment of the centrality
of the edges in a graph. Both issues derive from the analysis of
relevant real-world problems and are modeled by Markov chains describing
random walks on a graph.</p>
<p>In the first topic, the graph is a regular grid, and the specific
features of the problem lead to semi-infinite transition probability
matrices with a two-level tridiagonal and almost Toeplitz structure. We
show that these matrices live in a suitable infinite-dimensional
structured matrix algebra which is also a Banach space with respect to
the infinity norm. This fact will be crucial to designing effective fast
algorithms for computing the steady-state vector of the associated
Markov chain.</p>
<p>In the second topic, the graph is typically a road map of a city or
region. Thus, the Toeplitz structure of the associated transition
probability matrix is lost. However, the sparsity and band structure of
this matrix will allow us to easily compute a centrality measure of the
edges defined in terms of Kemeny’s constant of the associated Markov
chain. The effectiveness of the model and the solution algorithms is
tested on the road maps of Pisa and Tuscany.</p>
"
P7,SYS Hall,1,Fan,Chung,Fan Chung,2025-06-26 08:00:00,Plenary,,Thursday,08:00,09:00,7,100,Clustering in graphs with high clustering coefficients,"<p>Many real world networks possess the so-called small world phenomenon
where every node is relatively close to every other node and have a
large clustering coefficient, i.e., friends of friends are likely
friends. The task of learning an adequate similarity measure on various
feature spaces often involves graphs with high clustering coefficients.
We investigate the clustering effect in sparse clustering graphs by
examining the structural and spectral properties as well as the
enumeration of patterns. In addition, we consider random graph models
for clustering graphs that can be use to analyze the behavior of complex
networks.</p>
"
P8,SYS Hall,1,Karen,Meagher,Karen Meagher,2025-06-26 09:00:00,Plenary,,Thursday,09:00,10:00,8,100,"Using algebra to prove Erd\H{o}s-Ko-Rado type theorems
","<p>My research focuses on variations of the Erdős-Ko-Rado (EKR) theorem.
The question was to determine the largest set of subsets of size <span
class=""math inline""><em>k</em></span> from <span
class=""math inline"">{1, 2, …, <em>n</em>}</span>, with the property that
any two of the <span class=""math inline""><em>k</em></span>-subsets have
non-empty intersection. The Erdős-Ko-Rado (EKR) theorem states that a
largest such set can only be formed by taking all <span
class=""math inline""><em>k</em></span>-subsets that contain a common
fixed point.</p>
<p>More generally, for any object for which “intersection” can be
defined, we can ask the same question: what is the largest set of
objects with the property that any two objects in the set have non-empty
intersection? For many objects the answer to this question is a result
analogous to EKR theorem for <span
class=""math inline""><em>k</em></span>-subsets. When this holds, it can
be considered to be an <strong>EKR-type theorem</strong>.</p>
<p>Typically, these questions are considered to be problems from design
theory and there are many different proof approaches that can applied.
In my work (and in my opinion) the best results come from using tools
from linear algebra.</p>
<p>In this talk, I will give an overview of how to use linear algebra to
prove EKR-type theorems. My focus will be on results for intersecting
sets of permutations from transitive groups. For these objects (the
permutations) we define a graph, called <strong>the derangement
graph</strong>. The eigenvalues of the this graph can be determined from
the group, and the using the <strong>ratio bound</strong> the
eigenvalues give a bound on the size of the largest intersecting set of
permutations. This graph has lovely algebraic properties, in particular
it is a graph in an association scheme, which means that strong tools
from linear algebra are available.</p>
"
P9,SYS Hall,1,Ren-Cang,Li,Ren-Cang Li,2025-06-27 10:00:00,Plenary,,Friday,10:00,11:00,9,100,Principal joint block diagonalization    ,"<p>Matrix joint block-diagonalization frequently arises from diverse
applications such as independent component analysis, blind source
separation, and common principal component analysis (CPCA), among
others. CPCA, a special case, is about joint diagonalization, i.e., each
blocksize being 1-by-1. In the last fifteen years or so, CPCA has
attracted a great deal of attention because of its applications to,
e.g., multivariate data analysis and multiview clustering. Generically
three or more matrices cannot be jointly block-diagonalized, but
practically, a reasonably good approximate joint block-diagonalization
suffices for real-world applications. This talk is concerned with fast
<span><em>Principal Joint Block Diagonalization</em></span>, in which
our focus is on dominant and partial common block-diagonal structure
among the matrices of interest, in contrast to most existing methods,
such as the popular ones based on Givens’ rotation, which by nature have
to go for full joint diagonalization and can be too time-consuming to be
practical for a group of modest sized matrices that are not sufficiently
close to being jointly diagonalizable. An NPDo approach is proposed for
maximizing the common dominant block-diagonal parts. It is shown the
NPDo approach is globally convergent to a stationary point while the
objective function increases monotonically. Along similar lines, joint
principal SVD-type block-diagonalization is also investigated. Numerical
experiments will be presented to illustrate the use of the NPDo approach
and demonstrate its superiority to existing methods for matrices of
dimension 200 or larger.</p>
"
P10,SYS Hall,1,Haim,Avron,Haim Avron,2025-06-27 11:00:00,Plenary,,Friday,11:00,12:00,10,100,"Tubal tensor algebra: mathematical foundations and applications
","<p>Developed in a series of seminal papers in the early 2010s, the tubal
tensor framework provides a clean and effective algebraic setting for
tensor computations, supporting matrix-mimetic features such as a tensor
Singular Value Decomposition and Eckart–Young-like optimality results.
It has proven to be a powerful tool for analyzing inherently multilinear
data arising in hyperspectral imaging, medical imaging, neural dynamics,
scientific simulations, and more.</p>
<p>At the heart of tubal tensor algebra lies a special tensor-tensor
product: originally the t-product, later generalized into a full family
of products via the *M-product. Though initially defined through the
multiplication of a block-circulant unfolding of one tensor by a
matricization of another, it was soon observed that the t-product can be
interpreted as standard matrix multiplication where the scalars are
tubes—i.e., real vectors twisted “inward.” Yet, a fundamental question
remains: Why is this the “right” way to define a tensor-tensor product
in the tubal setting?</p>
<p>In the talk, I will discuss the mathematical foundations of the tubal
tensor framework, and discuss applications and extensions. In
particular, I will show that the t-product and its *M generalization
arises naturally when viewing third-order tensors as matrices of tubes,
together with a small set of desired natural algebraic properties.
Furthermore,*M-product is, in fact, the unique way to define a tubal
product satisfying these properties, and these desired properties are
required for the tubal SVD and Eckart–Young-like optimality results.</p>
"
